test,predict
56.8009,69.39924815
349.644,377.4196111
2265.95,2263.674259
177.068,216.8458889
664.513,671.3713704
2218.71,2209.391111
564.821,580.9051429
650.168,640.1487143
2364.92,2370.528571
530.19,555.1075926
634.084,621.9495926
2190.46,2205.236667
507.006,539.8502222
602.785,594.2521852
2050.63,2062.537407
519.033,548.4691111
542.507,541.2938148
1886.46,1892.764444
513.816,488.6306296
366.743,359.6908519
2519.09,2524.10963
416.878,405.4319799
273.427,272.3988926
2352.46,2358.384295
340.371,330.3002692
251.257,262.2806923
2265.23,2269.322692
268.935,261.5289259
238.216,254.461037
2179.01,2184.054815
271.9296667,271.9296667
515.7966667,515.7966667
1358.636667,1358.636667
254.155,294.4534815
581.775,585.145
1774.16,1774.765185
313.5802222,313.5802222
598.3415556,598.3415556
2206.235556,2206.235556
121.137,129.0042111
315.448,328.0864815
2226.54,2228.217407
86.3606,40.05149259
327.04,349.8752963
1752.42,1759.08963
97.373,-32.44155926
340.371,385.3221111
1382.64,1401.657778